station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Dippen,55.58274848,-5.496523588,133077,36060,2025-03-23 07:00:00,14.6,14.6,20,66051010,0,76
Dipple,57.61125291,-3.115476523,115217,35528,2025-03-23 08:00:00,9.4,9.4,10,65974010,0,2
Dosmucheran,57.59587318,-5.005770119,234202,37262,2025-03-23 07:00:00,6.4,6.4,10,66125010,0,113
Drum,56.18484641,-3.532323684,464646,38058,2025-03-23 08:00:00,24,24,30,66221010,0,266
Drumjohn,55.24992466,-4.32205779,115557,35792,2025-03-23 08:00:00,4.8,4.8,5,66017010,0,78
Drummore of Cantray,57.48325079,-4.006176025,377134,38006,2025-03-23 08:00:00,9.8,9.8,10,66216010,0,42
Dunbar,56.00371307,-2.52752897,15216,37104,2025-03-23 08:00:00,2.2,2.2,5,66164010,0,98
Dundreggan Rain Gauge,57.19161541,-4.767634199,530175,38324,2025-03-23 08:00:00,2.6,2.6,5,66250010,0,9
Dunlop,55.70737993,-4.528674906,115559,35800,2025-03-23 07:00:00,4.4,4.4,5,66018010,0,213
Dunnottar Radio Station,56.94652496,-2.21202446,509196,38236,2025-03-23 07:00:00,18.8,18.8,20,66241010,0,111
Dunnswood STW (Cumbernauld),55.97221885,-3.954505606,15180,37052,2025-03-23 08:00:00,8.6,8.6,10,66106010,0,17
Dunstaffnage,56.45050242,-5.439870612,365257,37906,2025-03-23 07:00:00,6.2,6.2,10,66203010,0,246
Durkadale,59.10852817,-3.232172832,234207,37272,2025-03-23 08:00:00,6.6,6.6,10,66126010,0,79
Earlsburn reservoir RG,56.07055238,-4.07597911,568155,38452,2025-03-23 08:00:00,7.2,7.2,10,66258010,0,129
East Kilbride,55.75477386,-4.171759227,115560,35804,2025-03-23 08:00:00,8,8,10,66019010,0,194
Edinburgh RBG (Royal Botanic Garden),55.96662337,-3.212310737,15201,37076,2025-03-23 08:00:00,9.8,9.8,10,66111010,0,248
Einig Wood,57.94421601,-4.764511928,492363,38138,2025-03-23 08:00:00,2.4,2.4,5,66231010,0,93
Eliock,55.34583036,-3.899113859,115562,35808,2025-03-23 08:00:00,5.6,5.6,10,66020010,0,253
Eskdalemuir Observatory,55.31151326,-3.206798775,15100,36948,2025-03-23 07:00:00,9.8,9.8,10,66094010,0,108
Esslemont House,57.36510966,-2.112363417,115221,35536,2025-03-23 07:00:00,13.4,13.4,20,65975010,0,65
Ettrick Bay,55.85650223,-5.145834193,115563,35812,2025-03-23 08:00:00,2.8,2.8,5,66021010,0,167
Fife Airport,56.1816502,-3.222449068,15151,37016,2025-03-23 08:00:00,9.4,9.4,10,66100010,0,133
Flichity,57.33128618,-4.221750189,115339,35636,2025-03-23 08:00:00,9.4,9.4,10,65994010,0,209
Forehill,57.50635026,-1.843281987,336372,37758,2025-03-23 07:00:00,18.8,18.8,20,66184010,0,22
