station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Tobermory,56.62026156,-6.080645248,115654,35936,2025-03-23 08:00:00,6,6,10,66046010,0,37
Tomatin No2,57.33816398,-4.013360208,564863,38440,2025-03-23 08:00:00,9.2,9.2,10,66257010,0,0
Torduff,55.8968016,-3.267160193,15190,37060,2025-03-23 08:00:00,10.6,10.6,20,66108010,0,66
Torwinny,57.52198313,-3.446843553,234326,37538,2025-03-23 08:00:00,7.8,7.8,10,66137010,0,61
Townfoot (Glencaple),54.99473579,-3.568993615,323188,37616,2025-03-23 08:00:00,6.8,6.8,10,66146010,0,241
Tromie Bridge,57.0717185,-3.998638147,234327,37542,2025-03-23 08:00:00,7.6,7.6,10,66138010,0,149
Tulchan,57.39918687,-3.44381882,115247,35584,2025-03-23 08:00:00,0,0,0,65983010,0,10
Unthank Raingauge,55.24281443,-2.964073002,506152,38214,2025-03-23 07:00:00,10.2,10.2,20,66240010,0,154
Upper Monachyle,56.39271229,-4.463706898,116007,35960,2025-03-23 08:00:00,8.2,8.2,10,66049010,0,110
Urquhart,57.59399199,-4.374371661,115406,35716,2025-03-23 08:00:00,1.6,1.6,5,66004010,0,123
Wardend Bridge,57.58239454,-3.608335401,234331,37552,2025-03-23 08:00:00,13.8,13.8,20,66139010,0,16
Waterside Perth,56.89929851,-2.820760629,369554,37982,2025-03-23 08:00:00,11.6,11.6,20,66213010,0,173
Waulkmill Glen,55.79484353,-4.353627607,115660,35948,2025-03-23 08:00:00,7.6,7.6,10,66961010,0,8
Weisdale Mill,60.2593269,-1.288604022,116008,35966,2025-03-23 08:00:00,12.4,12.4,20,66064010,0,145
Westhill,57.14756943,-2.291989375,115250,35588,2025-03-23 08:00:00,11.6,11.6,20,65984010,0,245
Whitburn,55.87157334,-3.682936938,14881,36432,2025-03-23 08:00:00,10.8,10.8,20,66068010,0,20
White Clauchrie,55.1412921,-4.677220867,502874,38188,2025-03-23 08:00:00,5.8,5.8,10,66238010,0,18
