Timestamp,Value
23/03/2024 09:00:00,0
24/03/2024 09:00:00,0
25/03/2024 09:00:00,19.8
26/03/2024 09:00:00,10
27/03/2024 09:00:00,13.8
28/03/2024 09:00:00,13.6
29/03/2024 09:00:00,1.2
30/03/2024 09:00:00,0.4
31/03/2024 09:00:00,0
01/04/2024 09:00:00,16.6
02/04/2024 09:00:00,5.2
03/04/2024 09:00:00,22.6
04/04/2024 09:00:00,21.4
05/04/2024 09:00:00,8.4
06/04/2024 09:00:00,2.2
07/04/2024 09:00:00,0
08/04/2024 09:00:00,15.6
09/04/2024 09:00:00,2.4
10/04/2024 09:00:00,2.6
11/04/2024 09:00:00,2.2
12/04/2024 09:00:00,3.4
13/04/2024 09:00:00,4
14/04/2024 09:00:00,4.6
15/04/2024 09:00:00,0
16/04/2024 09:00:00,1
17/04/2024 09:00:00,0
18/04/2024 09:00:00,1.6
19/04/2024 09:00:00,0
20/04/2024 09:00:00,0
21/04/2024 09:00:00,0.6
22/04/2024 09:00:00,0
23/04/2024 09:00:00,0
24/04/2024 09:00:00,0
25/04/2024 09:00:00,0
26/04/2024 09:00:00,0
27/04/2024 09:00:00,1.4
28/04/2024 09:00:00,0.2
29/04/2024 09:00:00,0.4
30/04/2024 09:00:00,0
01/05/2024 09:00:00,0
02/05/2024 09:00:00,0
03/05/2024 09:00:00,3
04/05/2024 09:00:00,1.2
05/05/2024 09:00:00,10.2
06/05/2024 09:00:00,8.8
07/05/2024 09:00:00,0
08/05/2024 09:00:00,0.2
09/05/2024 09:00:00,0
10/05/2024 09:00:00,0
11/05/2024 09:00:00,0
12/05/2024 09:00:00,5
13/05/2024 09:00:00,0.2
14/05/2024 09:00:00,1
15/05/2024 09:00:00,0.2
16/05/2024 09:00:00,0
17/05/2024 09:00:00,0
18/05/2024 09:00:00,0
19/05/2024 09:00:00,0
20/05/2024 09:00:00,0
21/05/2024 09:00:00,1.6
22/05/2024 09:00:00,56.6
23/05/2024 09:00:00,70.6
24/05/2024 09:00:00,4.2
25/05/2024 09:00:00,12.2
26/05/2024 09:00:00,7.2
27/05/2024 09:00:00,9.2
28/05/2024 09:00:00,9.6
29/05/2024 09:00:00,23.2
30/05/2024 09:00:00,0
31/05/2024 09:00:00,0
01/06/2024 09:00:00,0
02/06/2024 09:00:00,0.2
03/06/2024 09:00:00,0.8
04/06/2024 09:00:00,0.2
05/06/2024 09:00:00,1
06/06/2024 09:00:00,0.4
07/06/2024 09:00:00,0.2
08/06/2024 09:00:00,0
09/06/2024 09:00:00,0.2
10/06/2024 09:00:00,0.2
11/06/2024 09:00:00,0
